cluster_id,jumlah_komentar,tema,ringkasan
340,5.0,Kerusakan Infrastruktur Air,"Masyarakat mengeluh tentang kekurangan air di daerah Karah 162 yang seringkali mengalami mati listrik, menunjukkan kekecewaan dan keheranan terhadap keadaan yang tidak memuaskan. Mereka mungkin merasa bahwa masalah ini belum teratasi dengan efektif, sehingga menyebabkan kekecewaan dan kehilangan harapan."
368,5.0,Kerusakan Air Bersih,"Masyarakat mengekspresikan kekecewaan dan kekhawatiran atas kondisi air yang semakin terbatas dan tidak memadai, terutama di daerah Mleto, Surabaya Timur, yang sering mengalami mati air pada pagi dan malam hari. Mereka menuntut penyelesaian masalah ini agar air dapat tersedia secara terus-menerus dan memadai."
64,4.0,Terima Kasih,"Komentar-komentar di atas menunjukkan rasa syukur dan terima kasih dari masyarakat terhadap informasi yang diberikan oleh @pdamsuryasembada, yang telah membantu mereka dalam mengetahui atau mempersiapkan diri terhadap sesuatu. Mereka merasa puas dan mengucapkan terima kasih atas informasi yang diberikan."
708,4.0,Keterlambatan,"Masyarakat mengalami kekecewaan dan kebosanan terhadap situasi yang tidak berubah atau tidak membaik, seperti kemacetan atau kesulitan lainnya, dan mereka merasa frustrasi karena situasi tersebut telah berlangsung terlalu lama. Mereka ingin mengetahui kapan situasi tersebut akan berakhir dan merasa tidak sabar dengan situasi yang sedang terjadi."
213,3.0,Kerusakan Listrik,"Masyarakat mengekspresikan kekecewaan dan kekhawatiran atas kejadian yang terjadi, yang kemungkinan terkait dengan keamanan atau keadaan darurat, serta kekhawatiran atas ketersediaan listrik yang sering mati. Mereka menggunakan bahasa yang ekspresif dan emosional untuk mengekspresikan perasaan mereka."
147,3.0,Pekerjaan Bangunan,"Masyarakat ingin tahu kapan pekerjaan akan selesai dan berapa lama lagi pekerjaan akan selesai, karena mereka merasa kecewa atau heran dengan kecepatan atau efektivitas pekerjaan @ericahyadi_."
506,3.0,Komentar Positif,"Komentar-komentar tersebut menunjukkan kesan positif dan kegembiraan terhadap sesuatu yang telah terjadi atau diposting, dengan penggunaan kata-kata seperti ""keren"", ""kerenn"", dan simbol-simbol emosi positif untuk mengekspresikan kebanggaan dan kegembiraan. Mereka menggunakan ekspresi seperti ""KERENNN"" dan simbol wajah senang untuk mengekspresikan kegembiraan dan kejutan mereka."
449,3.0,Kerusakan Listrik,"Masyarakat mengungkapkan kekhawatiran dan kekecewaan atas kondisi yang tidak memungkinkan untuk melakukan sesuatu, seperti tidak ada listrik di rumah. Kondisi ini membuat mereka merasa tidak yakin atau kebingungan tentang keadaan sememori atau keadaan lainnya."
430,3.0,Kebraon,"Komentar-komentar di atas menunjukkan perasaan yang beragam, mulai dari kekecewaan dan keheranan hingga kegembiraan dan kehebohan, yang tercermin dalam simbol-simbol yang digunakan seperti api 🔥. Perasaan-perasaan ini mungkin terkait dengan perilaku atau tindakan seseorang yang tidak sesuai dengan ekspektasi masyarakat."
675,3.0,Kerusakan Air Bersih,"Masyarakat di daerah Pakal mengeluhkan kesulitan dalam menggunakan air PDAM yang sering mati atau tidak keluar, menyebabkan kekecewaan dan kekhawatiran atas kemungkinan kekeringan atau kekurangan air. Kondisi ini menunjukkan kekecewaan dan kehilangan yang dirasakan masyarakat."
